"DR_NO","DATETIME","AREA","AREA.NAME","Rpt.Dist.No","Part.1.2","Crm.Cd","Crm.Cd.Desc","Mocodes","Vict.Age","Vict.Sex","Vict.Descent","Premis.Cd","Premis.Desc","Weapon.Used.Cd","Weapon.Desc","LAT","LON","Location","CALOSA7URN","Gas.Price","temp","visibility","precip","sunrise","sunset","conditions","description","distance_to_center"
210104031,"2021-01-01 00:01",1,"Central",145,1,210,"ROBBERY","2004 1218 0344 0342 0400 1822",48,"M","B",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0461,-118.2475,"5TH ST LOS ANGELES ST",11,3.457,13.4,13.9,0,"06:58","16:54","Clear","Clear conditions throughout the day.",768.348758331556
210104010,"2021-01-01 00:01",1,"Central",119,2,624,"BATTERY - SIMPLE ASSAULT","0416",49,"F","W",108,"PARKING LOT",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,13.4,13.9,0,"06:58","16:54","Clear","Clear conditions throughout the day.",714.355096941368
210104013,"2021-01-01 07:30",1,"Central",119,1,442,"SHOPLIFTING - PETTY THEFT ($950 & UNDER)","0344 1822 2004 0104 0910 0325",0,"X","X",834,"LA UNION STATION (NOT LINE SPECIFIC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0561,-118.2375,"800 N ALAMEDA ST ",11,3.457,13.4,13.9,0,"06:58","16:54","Clear","Clear conditions throughout the day.",714.355096941368
210104033,"2021-01-01 19:00",1,"Central",152,1,210,"ROBBERY","0344 1309 0390 1822",37,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0502,-118.2539,"5TH ST GRAND AV",11,3.457,13.4,13.9,0,"06:58","16:54","Clear","Clear conditions throughout the day.",969.184757203819
210104457,"2021-01-02 00:01",1,"Central",142,2,624,"BATTERY - SIMPLE ASSAULT","1822 0342 0446 1202 1008 1020 0416 1218",60,"M","B",503,"HOTEL",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0519,-118.2531,"600 W 5TH ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",869.343631228962
210104066,"2021-01-02 01:08",1,"Central",153,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1420 1814 0913 2000 0444",26,"M","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0481,-118.2507,"300 W 5TH ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",794.199434130006
210104085,"2021-01-02 13:30",1,"Central",146,2,624,"BATTERY - SIMPLE ASSAULT","1218 2004 0416 0334 0443 1822 1268",61,"M","B",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0454,-118.2465,"5TH MAPLE",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",804.009148378283
210104052,"2021-01-02 14:30",1,"Central",148,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1218 0913 2000 1814 0448 0400 2060",37,"F","W",102,"SIDEWALK",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2427,"5TH CROCKER",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",976.593716798603
210104081,"2021-01-02 16:25",1,"Central",157,1,236,"INTIMATE PARTNER - AGGRAVATED ASSAULT","0913 2000 1814 0408 0416 0417 1218 2004",49,"F","B",203,"OTHER BUSINESS",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.0435,-118.2427,"500 E 5TH ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",976.593716798603
210104067,"2021-01-02 17:30",1,"Central",156,2,626,"INTIMATE PARTNER - SIMPLE ASSAULT","1420 0913 1814 2000 0416",46,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",34.044,-118.2467,"500 WALL ST ",11,3.457,12.7,15.6,0,"06:58","16:55","Clear","Clear conditions throughout the day.",958.021567105505
